Unnamed: 0,index,Month,BG,BN,BV,SG,SN,SV,SMB,HML
260,260,2023-03,-1.065,-0.588,-0.206,-4.606,-4.152,-5.274,-4.058,0.095
261,261,2023-04,6.674,9.585,11.632,13.371,13.971,12.375,3.942,1.981
262,262,2023-05,5.596,4.989,3.619,2.049,4.04,2.888,-1.742,-0.569
263,263,2023-06,6.491,8.607,8.609,7.498,7.517,6.704,-0.663,0.662
264,264,2023-07,4.949,8.761,13.327,5.189,5.959,4.728,-3.72,3.959
265,265,2023-08,4.562,6.329,9.52,7.363,6.893,7.705,0.517,2.65
266,266,2023-09,1.213,2.038,9.067,3.616,4.056,5.816,0.39,5.027
267,267,2023-10,-1.83,-1.031,-0.504,2.669,2.686,2.955,3.892,0.806
268,268,2023-11,6.78,9.97,10.722,9.282,7.476,8.152,-0.854,1.406
269,269,2023-12,5.313,7.155,10.292,8.083,7.28,7.667,0.09,2.281
270,270,2024-01,4.547,8.47,11.838,11.077,10.837,15.486,4.182,5.85
271,271,2024-02,0.17,-0.692,-0.987,1.738,1.0,-1.891,0.785,-2.393
272,272,2024-03,-3.761,-5.125,-6.588,-7.861,-8.377,-11.077,-3.947,-3.021
273,273,2024-04,8.821,11.394,14.593,15.269,14.718,13.995,3.058,2.249
274,274,2024-05,0.313,-1.322,-4.134,-1.128,-4.56,-2.637,-1.061,-2.978
275,275,2024-06,10.126,10.437,8.872,7.979,8.045,10.206,-1.069,0.487
276,276,2024-07,6.444,7.507,7.869,7.289,8.627,8.962,1.019,1.549
277,277,2024-08,0.946,2.076,0.303,4.84,4.477,4.205,3.399,-0.639
278,278,2024-09,2.11,1.314,0.777,2.525,1.832,2.606,0.92,-0.626
279,279,2024-10,-3.784,-5.294,-4.655,-3.099,-1.696,-2.194,2.248,0.017
280,280,2024-11,0.409,0.229,-1.026,1.534,1.806,2.269,1.999,-0.35
281,281,2024-12,-0.665,-0.832,-1.611,4.185,3.168,4.043,4.835,-0.544
282,282,2025-01,-7.949,-8.357,-5.699,-7.708,-6.944,-7.102,0.084,1.428
283,283,2025-02,-13.406,-12.865,-14.612,-14.548,-14.969,-14.248,-0.96,-0.453
284,284,2025-03,6.353,7.923,6.667,-0.378,-1.605,-3.326,-8.751,-1.317
