Month,Co_Code,Co_Name,Momentum_Label,Size_Label,BM_Label,BM,Monthly_Return,Size,Price_EOM,Momentum,OpProf_Label,Inv_Label,OpProf,Inv,Year
2013-02-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.6503492638931871,0.8939740672871422,90476.0,1130.95,1.0332288252892388,N,A,0.1844005471387205,0.4372901443641913,2013
2013-03-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.6400491667754428,0.9963750718029373,91932.0,1149.15,0.8561627283550935,N,A,0.1844005471387205,0.4372901443641913,2013
2013-04-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.6737496802251215,1.0492429439654505,93816.0,1172.7,0.8064485676322598,N,A,0.1844005471387205,0.4372901443641913,2013
2013-05-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.6037567340388951,1.111276637767241,104692.0,1308.65,0.8287045619898051,N,A,0.1844005471387205,0.4372901443641913,2013
2013-06-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.6193268665490888,0.968057503554088,102060.0,1275.75,0.9927789104529499,N,A,0.1844005471387205,0.4372901443641913,2013
2013-07-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.721872437357631,0.8679482834213678,87800.0,1097.5,1.0104479715857249,N,A,0.1844005471387205,0.4372901443641913,2013
2013-08-01,33727,BHARAT ELECTRONICS LTD.,W,B,N,0.6769674442450654,1.058675669866162,93624.0,1170.3,1.107113882273435,N,A,0.1844005471387205,0.4372901443641913,2013
2013-09-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.7441018423746162,0.948263158116752,85976.0,1074.7,0.8986210166021937,N,A,0.1844005471387205,0.4372901443641913,2013
2013-10-01,33727,BHARAT ELECTRONICS LTD.,W,B,N,0.7449683264241465,0.9990003899200096,85876.0,1073.45,0.9623101728498886,N,N,0.19106932436077625,0.10615479221164048,2013
2013-11-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.7586436296366569,0.9798059994020201,84328.0,1054.1,0.8968799741132922,N,N,0.19106932436077625,0.10615479221164048,2013
2013-12-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.8045064954092597,0.969716907923029,81904.0,1023.8,0.9242430499765711,N,N,0.19106932436077625,0.10615479221164048,2013
2014-01-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.8762766584503269,0.9124029879503103,74648.0,933.1,0.8289848527236523,N,N,0.19106932436077625,0.10615479221164048,2014
2014-02-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.8820904579535035,0.9787266466334239,74156.0,926.95,0.8315407755443694,N,N,0.19106932436077625,0.10615479221164048,2014
2014-03-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.7674649456165641,1.204448315890009,91572.0,1144.65,0.8486826586721427,N,N,0.19106932436077625,0.10615479221164048,2014
2014-04-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.7241900581179671,1.0133591571864693,97044.0,1213.05,0.8336502548935775,N,N,0.19106932436077625,0.10615479221164048,2014
2014-05-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.5451480033510193,1.3242953490594738,128916.0,1611.45,0.9569648776984377,N,N,0.19106932436077625,0.10615479221164048,2014
2014-06-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.4095408412104884,1.3502955538875379,172228.0,2152.85,0.8726442084393548,N,N,0.19106932436077625,0.10615479221164048,2014
2014-07-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.5026395302434297,0.8350423892285197,140328.0,1754.1,1.1937706823997103,N,N,0.19106932436077625,0.10615479221164048,2014
2014-08-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.4282494657081795,1.1543197632340092,164704.0,2058.8,1.857188124678923,N,N,0.19106932436077625,0.10615479221164048,2014
2014-09-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.45170761085041783,0.9766150570856382,159404.0,1992.55,1.4648781048069033,N,N,0.19106932436077625,0.10615479221164048,2014
2014-10-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.43326834669169856,1.048716225094059,166188.0,2077.35,1.7831946044024174,N,C,0.23165302134997662,-0.07752513177981975,2014
2014-11-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.3894718622211645,1.1207825334528188,184876.0,2310.95,1.7432372579080886,N,C,0.23165302134997662,-0.07752513177981975,2014
