"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2014","5,224.85","4,842.30","5,234.30","4,809.55","12.81B","7.74%"
"01-02-2014","4,849.50","4,690.15","4,852.05","4,596.05","8.49B","2.98%"
"01-01-2014","4,709.15","4,928.80","4,961.45","4,645.25","12.13B","-4.19%"
"01-12-2013","4,914.85","4,770.85","4,938.75","4,743.45","11.69B","3.03%"
"01-11-2013","4,770.10","4,798.40","4,847.05","4,605.15","10.77B","-0.72%"
"01-10-2013","4,804.85","4,405.00","4,811.15","4,367.15","11.66B","9.40%"
"01-09-2013","4,392.05","4,182.65","4,643.00","4,082.50","11.93B","5.18%"
"01-08-2013","4,175.85","4,402.70","4,428.40","3,937.70","12.65B","-4.65%"
"01-07-2013","4,379.65","4,509.35","4,673.00","4,319.70","11.82B","-2.91%"
"01-06-2013","4,510.90","4,688.60","4,695.50","4,317.70","10.29B","-3.64%"
"01-05-2013","4,681.45","4,630.40","4,877.65","4,630.40","11.37B","0.86%"
"01-04-2013","4,641.75","4,449.35","4,658.35","4,305.00","10.33B","4.58%"
"01-03-2013","4,438.35","4,483.00","4,682.70","4,370.15","11.39B","-0.87%"
"01-02-2013","4,477.50","4,798.90","4,814.50","4,464.70","12.11B","-6.63%"
"01-01-2013","4,795.30","4,761.80","4,872.70","4,757.85","15.35B","1.09%"
"01-12-2012","4,743.45","4,674.55","4,771.80","4,667.00","12.55B","1.46%"
"01-11-2012","4,675.25","4,443.40","4,677.80","4,411.15","11.19B","5.09%"
"01-10-2012","4,448.85","4,505.30","4,602.10","4,416.25","12.48B","-1.23%"
"01-09-2012","4,504.35","4,140.00","4,524.40","4,110.80","12.14B","9.07%"
"01-08-2012","4,129.90","4,121.90","4,274.05","4,094.75","10.06B","0.08%"
"01-07-2012","4,126.45","4,173.60","4,240.90","3,996.35","11.49B","-1.06%"
"01-06-2012","4,170.65","3,905.70","4,174.20","3,793.45","10.92B","6.58%"
"01-05-2012","3,913.05","4,182.00","4,203.30","3,818.25","11.53B","-6.35%"
"01-04-2012","4,178.35","4,222.20","4,295.60","4,106.20","9.74B","-1.03%"
"01-03-2012","4,221.80","4,265.05","4,365.50","4,089.75","14.45B","-1.26%"
"01-02-2012","4,275.55","4,082.25","4,465.25","4,062.25","18.41B","4.72%"
"01-01-2012","4,082.85","3,606.40","4,092.70","3,568.75","13.01B","13.48%"
"01-12-2011","3,597.75","3,886.95","3,997.25","3,535.85","10.13B","-5.60%"
"01-11-2011","3,811.25","4,189.75","4,228.55","3,672.55","6.83B","-9.60%"
